City_ID;City_Name;City_Type;City_Rank;City_Area;Population;Density;Phone_Code
1;Adana;metropol;3;13844;2237940;161.65;322
2;Adıyaman;urban;2;7337;626465;85.38;416
3;Afyonkarahisar;urban;2;14016;729483;52.04;272
4;Ağrı;rural;0;11099;536199;48.31;472
5;Amasya;rural;0;5628;337800;60.02;358
6;Ankara;big metropol;5;25632;5639076;220;312
7;Antalya;metropol;3;20177;2511700;124.48;242
8;Artvin;rural;0;7393;170875;23.11;466
9;Aydın;metropol;3;8116;1110972;136.88;256
10;Balıkesir;metropol;3;14583;1228620;84.25;266
11;Bilecik;rural;0;4179;219427;52.5;228
12;Bingöl;rural;0;8004;279812;34.95;426
13;Bitlis;rural;0;8294;348115;41.97;434
14;Bolu;rural;0;8313;316126;38.02;374
15;Burdur;rural;0;7175;270796;37.74;248
16;Bursa;metropol;3;10813;3056120;282.63;224
17;Çanakkale;urban;2;9817;542157;55.22;286
18;Çankırı;rural;0;7542;195789;25.95;376
19;Çorum;rural;0;12428;530864;42.71;364
20;Denizli;metropol;3;12134;1037208;85.47;258
21;Diyarbakır;metropol;3;15168;1756353;115.79;412
22;Edirne;urban;2;6145;413903;67.35;284
23;Elazığ;urban;2;9383;591098;62.99;424
24;Erzincan;rural;0;11815;234747;19.86;446
25;Erzurum;metropol;3;25006;762062;30.47;442
26;Eskişehir;metropol;3;13960;887475;63.57;222
27;Gaziantep;metropol;3;6803;2069364;304.18;342
28;Giresun;urban;2;7025;448400;63.82;454
29;Gümüşhane;rural;0;6668;164521;24.67;456
30;Hakkari;rural;0;7095;280991;39.6;438
31;Hatay;metropol;3;5524;1628894;294.87;326
32;Isparta;rural;0;8946;444914;49.73;246
33;İçel;metropol;3;16010;1840425;114.95;324
34;İstanbul;big metropol;5;5461;15519267;2841.83;212&216
35;İzmir;big metropol;5;11891;4367251;367.27;232
36;Kars;rural;0;10193;285410;28;474
37;Kastamonu;rural;0;13064;379405;29.04;366
38;Kayseri;metropol;3;16970;1407409;82.93;352
39;Kırklareli;rural;0;6459;361836;56.02;288
40;Kırşehir;rural;0;6584;242938;36.89;386
41;Kocaeli;metropol;3;3397;1953035;574.92;262
42;Konya;metropol;3;40838;2232374;54.66;332
43;Kütahya;urban;2;11634;579257;49.79;274
44;Malatya;metropol;3;12259;800165;65.27;422
45;Manisa;metropol;3;13339;1440611;107.99;236
46;Kahramanmaraş;metropol;3;14520;1154102;79.48;344
47;Mardin;metropol;3;8780;838778;95.53;482
48;Muğla;metropol;3;12654;983142;77.69;252
49;Muş;rural;0;8650;408809;47.26;436
50;Nevşehir;rural;0;5485;303010;55.24;384
51;Niğde;rural;0;7234;362861;48.59;388
52;Ordu;metropol;3;5861;754198;128.68;452
53;Rize;rural;0;3835;343212;89.49;464
54;Sakarya;metropol;3;4824;1029650;213.44;264
55;Samsun;metropol;3;9725;1348542;138.66;362
56;Siirt;rural;0;5717;330280;57.77;484
57;Sinop;rural;0;5717;218243;38.17;368
58;Sivas;urban;2;28164;638956;22.68;346
59;Tekirdağ;metropol;3;6190;1055412;170.5;282
60;Tokat;urban;2;10042;612747;61.01;356
61;Trabzon;metropol;3;4628;808974;174.79;462
62;Tunceli;rural;0;7582;84660;11.16;428
63;Şanlıurfa;metropol;3;19242;2073614;107.76;414
64;Uşak;rural;0;5555;370509;66.69;276
65;Van;metropol;3;20921;1136757;54.33;432
66;Yozgat;rural;0;13690;421200;30.76;354
67;Zonguldak;urban;2;3342;596053;178.35;372
68;Aksaray;urban;2;7659;416367;54.36;382
69;Bayburt;rural;0;3746;84843;22.64;458
70;Karaman;rural;0;8678;253279;29.18;338
71;Kırıkkale;rural;0;4791;283017;59.07;318
72;Batman;urban;2;4477;608659;135.95;488
73;Şırnak;rural;0;7078;529615;74.82;486
74;Bartın;rural;0;2330;198249;85.08;378
75;Ardahan;rural;0;4934;97319;19.72;478
76;Iğdır;rural;0;3664;199442;54.43;476
77;Yalova;urban;2;798;270976;339.56;226
78;Karabük;rural;0;4142;248458;59.98;370
79;Kilis;urban;2;1412;142490;100.91;348
80;Osmaniye;urban;2;3320;538759;162.27;328
81;Düzce;urban;2;2492;392166;157.36;380
