Product_ID;Customer_ID;Product_Type;Open_Date;Currency;Balance;Credit_Limit
1;10895;Demand;03.10.2009;YTL;66.2;0
2;11302;Credit Card;05.10.2009;YTL;1.53;2000
3;10855;Demand;06.10.2009;USD;0.55;0
4;10904;Demand;08.10.2009;YTL;1226.68;0
5;10904;Demand;08.10.2009;EUR;2953.55;0
6;11309;Demand;12.10.2009;YTL;34.39;0
7;11096;Demand;16.10.2009;USD;0.35;0
8;11096;Demand;16.10.2009;YTL;25.88;0
9;11486;Demand;28.10.2009;YTL;209.27;0
10;11231;Demand;02.11.2009;YTL;287.34;0
11;10867;Credit Card;06.11.2009;YTL;74.41;1000
12;10846;Demand;06.11.2009;EUR;5.36;0
13;10867;Demand;06.11.2009;YTL;21.69;0
14;11012;Demand;10.11.2009;USD;0.46;0
15;11012;Demand;10.11.2009;YTL;57.54;0
16;11805;Credit Card;12.11.2009;YTL;5430.93;6000
17;11805;Demand;12.11.2009;YTL;81.92;0
18;11805;Demand;12.11.2009;EUR;257.66;0
19;11187;Credit Card;17.11.2009;YTL;0;3500
20;10489;Demand;18.11.2009;YTL;18.06;0
21;10733;Demand;19.11.2009;USD;2.08;0
22;10733;Demand;19.11.2009;XAU;0.22;0
23;10733;Demand;19.11.2009;YTL;27.21;0
24;10331;Demand;21.11.2009;USD;0.06;0
25;10331;Demand;21.11.2009;YTL;6.3;0
26;10574;Demand;29.11.2009;YTL;66.54;0
27;10874;Demand;30.11.2009;YTL;56.21;0
28;10711;Demand;03.12.2009;USD;1.42;0
29;11702;Demand;06.12.2009;YTL;35.72;0
30;11575;Demand;10.12.2009;YTL;43.28;0
31;9304;Demand;11.12.2009;YTL;23.89;0
32;9993;Credit Card;12.12.2009;YTL;22327.14;30000
33;9993;Demand;12.12.2009;USD;157.07;0
34;10228;Demand;14.12.2009;USD;1.84;0
35;10243;Demand;14.12.2009;USD;37075.61;0
36;10891;Demand;15.12.2009;EUR;1846.46;0
37;10855;Demand;18.12.2009;XAU;2.85;0
38;11882;Demand;20.12.2009;YTL;65.22;0
39;11882;Demand;20.12.2009;USD;1.49;0
40;10036;Credit Card;21.12.2009;YTL;0;1500
41;8947;Demand;28.12.2009;YTL;0.02;0
42;11435;Demand;28.12.2009;YTL;27.86;0
43;11762;Demand;05.01.2010;YTL;35.49;0
44;11669;Demand;05.01.2010;YTL;42.18;0
45;9995;Demand;08.01.2010;YTL;1132.36;0
46;9995;Credit Card;08.01.2010;YTL;10500;10500
47;9570;Demand;12.01.2010;YTL;44.43;0
48;9570;Demand;15.01.2010;XAU;3.26;0
49;11405;Credit Card;16.01.2010;YTL;19091.12;21000
50;9696;Demand;17.01.2010;YTL;7.23;0
51;10231;Demand;19.01.2010;YTL;32.34;0
52;11830;Demand;22.01.2010;YTL;55.5;0
53;8742;Credit Card;22.01.2010;YTL;6.98;1000
54;8742;Demand;22.01.2010;YTL;1.39;0
55;11830;Demand;22.01.2010;USD;0.7;0
56;9915;Demand;23.01.2010;YTL;34.14;0
57;9915;Demand;23.01.2010;USD;1.68;0
58;8736;Demand;24.01.2010;YTL;6972.1;0
59;9495;Demand;24.01.2010;YTL;55.31;0
60;11858;Demand;25.01.2010;YTL;765.29;0
61;9577;Demand;26.01.2010;YTL;20.66;0
62;9987;Demand;30.01.2010;YTL;24.76;0
63;10776;Demand;31.01.2010;XAU;2.93;0
64;10030;Credit Card;31.01.2010;YTL;198.99;1500
65;10030;Demand;31.01.2010;YTL;67.17;0
66;10268;Demand;31.01.2010;YTL;6.39;0
67;11257;Demand;01.02.2010;YTL;14.03;0
68;11257;Demand;01.02.2010;USD;1.45;0
69;9020;Demand;05.02.2010;YTL;51.16;0
70;10580;Credit Card;07.02.2010;YTL;0;1000
71;9114;Demand;07.02.2010;YTL;6409.01;0
72;8831;Demand;10.02.2010;YTL;7162.74;0
73;11917;Credit Card;10.02.2010;YTL;15.78;9500
74;9388;Demand;12.02.2010;YTL;594.46;0
75;9332;Demand;14.02.2010;YTL;49.88;0
76;11268;Credit Card;15.02.2010;YTL;0;3000
77;9720;Demand;16.02.2010;YTL;745.11;0
78;9720;Demand;16.02.2010;USD;163.44;0
79;9576;Demand;16.02.2010;USD;0.65;0
80;9576;Demand;16.02.2010;YTL;25.82;0
81;9720;Credit Card;16.02.2010;YTL;8728.34;13500
82;9388;Credit Card;17.02.2010;YTL;5820.92;10000
83;10358;Demand;22.02.2010;YTL;651.57;0
84;8903;Demand;27.02.2010;YTL;19.97;0
85;10357;Demand;28.02.2010;YTL;292.19;0
86;11935;Demand;03.03.2010;YTL;51.19;0
87;11378;Demand;03.03.2010;YTL;9.51;0
88;11935;Demand;03.03.2010;USD;1.71;0
89;8680;Demand;04.03.2010;YTL;35.67;0
90;8680;Credit Card;04.03.2010;YTL;8.22;1000
91;8680;Demand;04.03.2010;USD;0.62;0
92;8897;Demand;05.03.2010;YTL;48.59;0
93;11511;Demand;05.03.2010;USD;0.31;0
94;9623;Demand;06.03.2010;XAU;2.96;0
95;9399;Demand;06.03.2010;YTL;940.35;0
96;11255;Demand;07.03.2010;USD;1.98;0
97;11255;Demand;07.03.2010;YTL;36.13;0
98;11259;Demand;08.03.2010;USD;2.36;0
99;8735;Demand;08.03.2010;YTL;4.23;0
100;11425;Credit Card;11.03.2010;YTL;0;1000
101;8484;Credit Card;14.03.2010;YTL;19.74;4000
102;8366;Demand;16.03.2010;EUR;5.37;0
103;11400;Demand;16.03.2010;YTL;29.65;0
104;11400;Demand;16.03.2010;EUR;3.75;0
105;10793;Demand;22.03.2010;YTL;58.55;0
106;10573;Demand;22.03.2010;USD;1.45;0
107;10573;Demand;22.03.2010;EUR;7.78;0
108;8340;Demand;23.03.2010;EUR;1.07;0
109;8340;Demand;23.03.2010;YTL;64.78;0
110;8170;Demand;23.03.2010;YTL;25.92;0
111;10935;Demand;24.03.2010;YTL;39.23;0
112;10341;Demand;26.03.2010;YTL;4.54;0
113;10069;Demand;27.03.2010;YTL;57.86;0
114;9644;Demand;30.03.2010;YTL;8872.26;0
115;7962;Demand;30.03.2010;USD;2.43;0
116;7962;Demand;30.03.2010;YTL;48.26;0
117;11007;Demand;31.03.2010;USD;44.43;0
118;11007;Demand;31.03.2010;YTL;467.76;0
119;11968;Demand;02.04.2010;YTL;1.7;0
120;11968;Demand;02.04.2010;USD;0.99;0
121;11968;Credit Card;02.04.2010;YTL;845.18;1000
122;10343;Demand;03.04.2010;YTL;6.21;0
123;11967;Demand;03.04.2010;YTL;64.88;0
124;9392;Demand;05.04.2010;YTL;22.12;0
125;11303;Demand;06.04.2010;YTL;49.43;0
126;11303;Credit Card;06.04.2010;YTL;0;500
127;11352;Demand;09.04.2010;YTL;21.12;0
128;8683;Demand;09.04.2010;YTL;42.35;0
129;8596;Demand;10.04.2010;YTL;9.59;0
130;10214;Demand;11.04.2010;YTL;65.54;0
131;10558;Demand;12.04.2010;USD;2.34;0
132;10482;Demand;12.04.2010;YTL;4042.97;0
133;10854;Demand;14.04.2010;YTL;43.37;0
134;10854;Demand;14.04.2010;USD;1.83;0
135;11424;Demand;14.04.2010;YTL;63.99;0
136;8264;Demand;15.04.2010;YTL;49.99;0
137;11368;Demand;17.04.2010;YTL;171.36;0
138;9275;Credit Card;20.04.2010;YTL;3.34;2000
139;10341;Demand;20.04.2010;XAU;1.73;0
140;8967;Demand;20.04.2010;YTL;24.09;0
141;8967;Demand;20.04.2010;EUR;1.75;0
142;9275;Demand;20.04.2010;USD;0.56;0
143;8744;Demand;20.04.2010;YTL;7.02;0
144;8967;Demand;20.04.2010;USD;1.23;0
145;9275;Demand;20.04.2010;YTL;1.22;0
146;10083;Demand;21.04.2010;USD;25329.66;0
147;7540;Demand;22.04.2010;USD;11624.24;0
148;7215;Demand;22.04.2010;YTL;26.76;0
149;9540;Demand;22.04.2010;YTL;61.17;0
150;7540;Demand;22.04.2010;YTL;492.74;0
151;10254;Demand;23.04.2010;USD;0.35;0
152;9293;Demand;23.04.2010;YTL;3.6;0
153;11187;Demand;23.04.2010;XAU;1.94;0
154;10933;Credit Card;23.04.2010;YTL;11.5;2000
155;10933;Demand;23.04.2010;YTL;19.17;0
156;8836;Demand;24.04.2010;EUR;20.84;0
157;10002;Demand;24.04.2010;YTL;23.16;0
158;8836;Demand;24.04.2010;YTL;7.31;0
159;8173;Demand;25.04.2010;USD;933.42;0
160;7400;Demand;28.04.2010;YTL;4542.89;0
161;10466;Demand;28.04.2010;YTL;35.15;0
162;11872;Demand;30.04.2010;YTL;1147.87;0
163;11935;Demand;30.04.2010;XAU;2.21;0
164;9915;Demand;30.04.2010;XAU;2.39;0
165;10254;Demand;01.05.2010;XAU;3.02;0
166;11438;Credit Card;01.05.2010;YTL;0;8000
167;11438;Demand;01.05.2010;YTL;6050.33;0
168;9843;Demand;04.05.2010;YTL;3.76;0
169;8716;Credit Card;04.05.2010;YTL;3.87;4000
170;7413;Credit Card;05.05.2010;YTL;119.99;28000
171;7413;Demand;05.05.2010;YTL;7308.67;0
172;8518;Demand;06.05.2010;YTL;25.45;0
173;9516;Demand;09.05.2010;YTL;603.73;0
174;9870;Credit Card;10.05.2010;YTL;3633.12;4000
175;9870;Demand;10.05.2010;YTL;39.61;0
176;8657;Credit Card;10.05.2010;YTL;0;44000
177;8657;Demand;10.05.2010;YTL;340.44;0
178;10261;Demand;10.05.2010;USD;1.79;0
179;8030;Demand;13.05.2010;USD;2.44;0
180;8030;Demand;13.05.2010;EUR;2.78;0
181;11701;Demand;14.05.2010;EUR;2.1;0
182;10161;Demand;15.05.2010;YTL;18.2;0
183;8749;Demand;15.05.2010;YTL;54.48;0
184;7330;Demand;16.05.2010;USD;1.77;0
185;10694;Demand;16.05.2010;YTL;633.55;0
186;10836;Credit Card;17.05.2010;YTL;10953.84;34000
187;10836;Demand;17.05.2010;YTL;116.38;0
188;9571;Demand;17.05.2010;YTL;2849.72;0
189;11363;Demand;18.05.2010;YTL;8.24;0
190;11170;Demand;20.05.2010;USD;1.84;0
191;7866;Demand;20.05.2010;USD;146.26;0
192;11170;Demand;20.05.2010;YTL;31.38;0
193;11835;Demand;21.05.2010;YTL;2.51;0
194;11837;Demand;21.05.2010;YTL;6699.99;0
195;11835;Demand;21.05.2010;USD;0.88;0
196;9736;Demand;22.05.2010;YTL;5.84;0
197;10680;Demand;22.05.2010;EUR;5.63;0
198;9844;Credit Card;23.05.2010;YTL;4405.52;6000
199;10742;Demand;25.05.2010;YTL;54.01;0
200;10742;Demand;25.05.2010;USD;1.7;0
201;10742;Credit Card;25.05.2010;YTL;22.68;6000
202;9939;Demand;26.05.2010;YTL;1243.1;0
203;10083;Credit Card;26.05.2010;YTL;5.19;1500
204;9939;Demand;26.05.2010;USD;5366.15;0
205;7171;Demand;26.05.2010;YTL;39.47;0
206;8258;Demand;27.05.2010;EUR;5.27;0
207;6423;Credit Card;29.05.2010;YTL;1514.24;4000
208;6423;Demand;29.05.2010;YTL;267.12;0
209;10648;Demand;30.05.2010;YTL;62.29;0
210;9659;Demand;03.06.2010;YTL;21.14;0
211;11616;Demand;04.06.2010;EUR;1541.63;0
212;11394;Demand;05.06.2010;YTL;9.55;0
213;6317;Demand;06.06.2010;YTL;941.73;0
214;7169;Demand;06.06.2010;YTL;600.09;0
215;6317;Credit Card;06.06.2010;YTL;9090.41;10000
216;8542;Credit Card;08.06.2010;YTL;3.87;500
217;8542;Demand;08.06.2010;USD;0.54;0
218;7221;Demand;09.06.2010;USD;2.26;0
219;11814;Demand;14.06.2010;YTL;0.09;0
220;11924;Demand;15.06.2010;YTL;44.87;0
221;11119;Demand;15.06.2010;YTL;258.64;0
222;11924;Demand;15.06.2010;USD;2.04;0
223;10197;Demand;16.06.2010;USD;0.29;0
224;8238;Demand;16.06.2010;YTL;28.18;0
225;11864;Demand;17.06.2010;YTL;1079.83;0
226;11864;Demand;17.06.2010;USD;434.02;0
227;6232;Demand;17.06.2010;YTL;630.22;0
228;11835;Credit Card;19.06.2010;YTL;6.72;1000
229;8986;Demand;22.06.2010;YTL;17.87;0
230;9237;Demand;22.06.2010;YTL;47.29;0
231;9208;Demand;23.06.2010;YTL;728.59;0
232;9208;Credit Card;23.06.2010;YTL;2192.19;4500
233;10941;Credit Card;23.06.2010;YTL;3.98;1000
234;6985;Demand;24.06.2010;YTL;37.91;0
235;6985;Credit Card;24.06.2010;YTL;0;2000
236;6083;Demand;25.06.2010;YTL;1296.52;0
237;6927;Demand;25.06.2010;EUR;23.68;0
238;6083;Demand;25.06.2010;EUR;5039.68;0
239;9211;Credit Card;26.06.2010;YTL;14530.83;16000
240;9211;Demand;26.06.2010;YTL;2120.68;0
241;7596;Demand;27.06.2010;USD;0.26;0
242;6073;Demand;27.06.2010;YTL;56.57;0
243;6073;Credit Card;27.06.2010;YTL;409.88;1000
244;11412;Demand;28.06.2010;USD;0.53;0
245;7717;Credit Card;28.06.2010;YTL;68752.86;76000
246;8856;Demand;28.06.2010;USD;1.28;0
247;8856;Demand;28.06.2010;YTL;4.46;0
248;10132;Demand;30.06.2010;YTL;21.99;0
249;11271;Demand;02.07.2010;YTL;510.42;0
250;6198;Demand;02.07.2010;YTL;407.45;0
251;6792;Demand;04.07.2010;USD;8049.16;0
252;8750;Demand;05.07.2010;YTL;53.36;0
253;6157;Demand;06.07.2010;YTL;1055.13;0
254;6157;Demand;06.07.2010;USD;1451.34;0
255;8600;Demand;07.07.2010;YTL;8.77;0
256;11510;Demand;07.07.2010;YTL;57.92;0
257;11510;Demand;07.07.2010;USD;2.59;0
258;6447;Demand;08.07.2010;YTL;1132.85;0
259;6447;Demand;08.07.2010;USD;1430.92;0
260;10896;Demand;09.07.2010;YTL;10.33;0
261;11029;Credit Card;10.07.2010;YTL;0;500
262;6942;Credit Card;10.07.2010;YTL;0;1500
263;6873;Demand;10.07.2010;YTL;97.54;0
264;11029;Demand;10.07.2010;YTL;37.62;0
265;6942;Demand;10.07.2010;YTL;75.41;0
266;6291;Demand;10.07.2010;YTL;531.16;0
267;6755;Demand;11.07.2010;YTL;1181.96;0
268;8301;Demand;11.07.2010;YTL;8578.25;0
269;8301;Credit Card;11.07.2010;YTL;6763.78;7500
270;11377;Demand;12.07.2010;USD;199.36;0
271;5745;Demand;12.07.2010;EUR;20763.41;0
272;5745;Demand;12.07.2010;YTL;2186.92;0
273;8272;Demand;13.07.2010;YTL;60.47;0
274;8272;Demand;13.07.2010;USD;0.56;0
275;6147;Demand;14.07.2010;YTL;864.29;0
276;9484;Demand;14.07.2010;USD;268.63;0
277;9894;Demand;15.07.2010;USD;1.25;0
278;11922;Demand;16.07.2010;EUR;3813.3;0
279;10796;Demand;16.07.2010;USD;0.82;0
280;11922;Demand;16.07.2010;YTL;1141.87;0
281;9103;Demand;17.07.2010;USD;2.53;0
282;9103;Demand;17.07.2010;YTL;34.05;0
283;6305;Demand;18.07.2010;USD;122.68;0
