customerID;isControl;isBusiness;creditLimit;tenure;comparisonPA;target;reward;optIn;observationPA
11995;0;0;180000;98;112663.46;160000;6000;1;122000
7990;0;1;160000;116;90102.92;125000;5000;1;125000
3953;0;0;140000;25;90063.02;125000;5000;1;112000
11953;0;1;180000;13;80503.05;115000;5000;1;100000
7980;0;0;130000;34;80040;110000;4000;1;100000
1980;1;0;150000;41;79725;110000;4000;0;12000
10376;0;0;130000;103;79615;110000;4000;1;25000
3858;0;0;140000;50;78717;110000;4000;0;48911
5921;0;1;180000;97;76184;80000;4000;1;82000
9969;0;1;200000;34;73010;90000;4000;1;95000
4453;0;0;170000;81;69725;100000;4000;0;25000
1995;1;1;120000;6;65975;90000;4000;0;22000
3960;0;1;110000;3;65025;90000;4000;1;100000
11996;0;1;130000;41;61000;85000;4000;1;14000
11910;0;0;160000;62;56550;80000;4000;1;80000
1968;1;0;70000;87;54900;70000;3000;0;6000
9921;0;0;140000;5;54380;75000;3000;1;100000
9963;0;1;110000;102;53200;75000;4000;0;14000
9423;0;1;70000;37;50300;70000;3000;0;20000
1988;1;1;110000;44;49250;70000;3000;0;600
11631;0;0;70000;105;47250;65000;3000;0;20000
3293;0;0;100000;52;42483.4;60000;3000;0;20000
6528;0;0;80000;49;40548.39;55000;3000;0;20000
1966;1;0;85000;27;39800;55000;3000;0;2300
9950;0;0;130000;10;38849.53;75000;3000;0;80000
722;1;0;75000;103;38744;54000;3000;0;10544
10589;0;0;75000;26;38269.24;55000;3000;0;34849.52
3048;0;1;95000;88;35015.44;50000;3000;0;40000
1993;1;0;100000;60;33600;50000;3000;0;0
11152;0;1;40000;81;33160.88;48000;3000;1;20000
2870;0;1;80000;102;32602.64;47000;2500;1;40000
4742;0;1;110000;45;32182.48;47000;2500;1;40000
11068;0;0;85000;49;32024.29;45000;2000;0;40000
3095;0;1;45000;100;31509.3;45000;2000;1;22000
1816;1;0;70000;81;30250;42000;2000;0;1000
6099;0;1;100000;70;29988.85;42000;2000;1;33417.82
