ID;Bank_Name;Branch_Name;Address;Town_ID;Telephone;Fax;Opening_Date
1;Adabank A.Ş.;Merkez Şube;Büyükdere Caddesi Rumeli Han No:40 Mecidiyeköy 34387_Şişli/İstanbul;1663;212-272 64 20;212-272 64 46;23.09.1985
2;Akbank T.A.Ş.;Ceyhan;Atatürk Cad. No : 262_Ceyhan/Adana;1219;322-6131010;322-6132678;14.07.1948
3;Akbank T.A.Ş.;Türkmenbaşı;Huzurevleri Mah. Türkmenbaşı Bulvarı Teras Residance Apt. Zemin Kat 28/ B_Çukurova/Adana;2033;322-2399010;322-2399022;23.07.2013
4;Akbank T.A.Ş.;Kozan;Irmak Cad. No :28_Kozan/Adana;1486;322-5158618;322-5152028;12.12.1972
5;Akbank T.A.Ş.;Adana;Çınarlı Mah. Atatürk Cad. No : 13_Seyhan/Adana;1104;322-3553100;322-3631035;30.01.1948
6;Akbank T.A.Ş.;Adana Ticari;Çınarlı Mah. Atatürk Cad. No : 13_Seyhan/Adana;1104;322-3553150;322-3630978;01.06.2004
7;Akbank T.A.Ş.;Atatürk Caddesi / Adana;Atatürk Cad. No : 52 / 8_Seyhan/Adana;1104;322-4543775;322-4590492;15.11.1972
8;Akbank T.A.Ş.;Barajyolu;Bülent Angın Bulvarı No : 22_Seyhan/Adana;1104;322-2255024;322-2254734;05.10.1999
9;Akbank T.A.Ş.;Barkal;Sakarya Mahallesi Turan Cemal Beriker Bulvarı No:266_Seyhan/Adana;1104;322-4329343;322-4353191;20.01.1986
10;Akbank T.A.Ş.;Cemalpaşa;Baraj Cad. No : 41_Seyhan/Adana;1104;322-4562580;322-4596348;30.06.1971
11;Akbank T.A.Ş.;Gazipaşa Bulvarı / Adana;Gazipaşa Bulv. No : 49_Seyhan/Adana;1104;322-4582020;322-4574289;12.03.1990
12;Akbank T.A.Ş.;Hacı Sabancı Organize Sanayi Bölgesi;Hacı Sabancı Org. San. Bölgesi Suluca Mevii_Seyhan/Adana;1104;322-3944204;322-3944208;27.12.1999
13;Akbank T.A.Ş.;Küçüksaat;Abidinpaşa Cad. No : 36_Seyhan/Adana;1104;322-3554500;322-3524225;25.07.1966
14;Akbank T.A.Ş.;Mahfesığmaz;Kenan Evren Bulvarı Mahfesığmaz Mah. 40 Sok. Birsen Dikici Apt._Seyhan/Adana;1104;322-2353530;322-2333710;13.07.2004
15;Akbank T.A.Ş.;Saydam Caddesi;Saydam Cad. No : 101_Seyhan/Adana;1104;322-3519502;322-3599380;04.06.1973
16;Akbank T.A.Ş.;Toros;Toros Mah. Turgut Özal Bulvarı Kemal Akdoğan Sit. No : 145_Seyhan/Adana;1104;322-2323768;322-2323770;05.10.1999
17;Akbank T.A.Ş.;Yeni Adana;Yurt Mah. Turgut Özal Bulvarı İtfaiye Kavşağı Ergeç Apt. No:182/51-52_Seyhan/Adana;1104;322-2487331;322-2390076;05.12.2006
18;Akbank T.A.Ş.;Yeni Toptancı Hali;Turhan Cemal Bekirer Bulvarı Vedat Dalokay Hal Kompl. No : 686_Seyhan/Adana;1104;322-4285426;322-4286091;14.06.1993
19;Akbank T.A.Ş.;Yüzevler;Ziyapaşa Bulvarı No : 27 / A_Seyhan/Adana;1104;322-4552300;322-4590163;28.12.1970
20;Akbank T.A.Ş.;Karşıyaka / Adana;İlbey Güneş Cad. No :1 Hiltonsa Altı_Yüreğir/Adana;1748;322-3211019;322-3211022;06.08.1962
21;Akbank T.A.Ş.;Yavuzlar;Tahsilli Mah. Kozan Cad. No : 415_Yüreğir/Adana;1748;322-3213624;322-3227600;10.09.1973
22;Akbank T.A.Ş.;Adıyaman;Atatürk Cad. No : 25 02100_Merkez/Adıyaman;1105;416-2161814;416-2162190;22.12.1976
23;Akbank T.A.Ş.;Bolvadin;Şazi Mah. Eski Hükümet Meydanı Bankalar Cad. No: 22_Bolvadin/Afyonkarahisar;1200;272-6125191;272-6125875;28.12.1970
24;Akbank T.A.Ş.;Dinar;Sucikan Cad. No : 8_Dinar/Afyonkarahisar;1281;272-3533300;272-3531421;23.09.1974
25;Akbank T.A.Ş.;Emirdağ;Cumhuriyet Mey. No : 1_Emirdağ/Afyonkarahisar;1306;272-4425130;272-4413081;09.01.1973
26;Akbank T.A.Ş.;Afyonkarahisar;Dumlupınar Mah. Dumlupınar 2. Cadde No: 8/1B_Merkez/Afyonkarahisar;1108;272-2154033;272-2122056;05.02.1968
27;Akbank T.A.Ş.;Sandıklı;Ece Mah. Dereboyu Cad. No : 15_Sandıklı/Afyonkarahisar;1594;272-5154079;272-5126845;11.12.1978
28;Akbank T.A.Ş.;Doğubeyazıt;Rıfkı Başkaya Cad. Doğubeyazıt Ticaret Odası Binası Zemin Ka_Doğubayazıt/Ağrı;1287;472-3124827;472-3124828;14.09.1999
29;Akbank T.A.Ş.;Ağrı;Transit Cad. No : 5_Merkez/Ağrı;1111;472-2152098;472-2151673;07.10.1974
30;Akbank T.A.Ş.;Aksaray;Minarecik Mah. 4.Nolu Minarecik Sk. No:25 (Tek Binası Yanı)_Merkez/Aksaray;1120;382-2133040;382-2137871;23.07.1969
31;Akbank T.A.Ş.;Amasya;Atatürk Cad. No : 39_Merkez/Amasya;1134;358-2182004;358-2126758;27.11.1968
32;Akbank T.A.Ş.;Merzifon;Cumhurriyet Cad. No : 79_Merzifon/Amasya;1524;358-5132981;358-5130181;27.11.1970
33;Akbank T.A.Ş.;2.Siteler;Siteler Ereğli Sok. No : 22_Altındağ/Ankara;1130;312-3500347;312-3501043;07.09.1999
34;Akbank T.A.Ş.;Ankara;Anafartalar Mahallesi Atatürk Bulvarı No:5/A-1_Altındağ/Ankara;1130;312-3062600;312-3245741;25.10.1951
35;Akbank T.A.Ş.;Ankara Ticari;Anafartalar Mahallesi Atatürk Bulvarı No:5/A-2_Altındağ/Ankara;1130;312-3062650;312-3118303;15.01.2004
36;Akbank T.A.Ş.;Aydınlıkevler;Çevreli Caddesi Dik Sok. No : 2_Altındağ/Ankara;1130;312-3175262;312-3181761;31.10.1968
37;Akbank T.A.Ş.;Kazım Karabekir;Kazım Karabekir Cad. 91 No.Lu İş Merkezi No : 22 - 23_Altındağ/Ankara;1130;312-3843017;312-3841238;06.10.1972
38;Akbank T.A.Ş.;Siteler;Demirhendek Cad. No : 77_Altındağ/Ankara;1130;312-3491162;312-3513958;20.05.1974
39;Akbank T.A.Ş.;Ulucanlar;Oğuzlar Mah. Ulucanlar Cad. No : 33 / C_Altındağ/Ankara;1130;312-3245575;312-3108065;29.11.1954
40;Akbank T.A.Ş.;Beypazarı;İrfan Gümüşel Cad. No : 47_Beypazarı/Ankara;1187;312-7631515;312-7631223;02.06.1976
41;Akbank T.A.Ş.;Ankara (Kara Harp Okulu Nakit);Devlet Mah. Kara Harp Okulu Cad.06654 Çankaya Ankara_Çankaya/Ankara;1231;312-4172513;-;02.05.2017
42;Akbank T.A.Ş.;Aşağıayrancı;Güvenlik Cad. No : 77_Çankaya/Ankara;1231;312-4663002;312-4268466;04.03.1972
43;Akbank T.A.Ş.;Bahçelievler / Ankara;Aşkabat Cad. No : 23 / A_Çankaya/Ankara;1231;312-2135919;312-2139622;07.10.1965
44;Akbank T.A.Ş.;Bakanlıklar;Atatürk Bulv. No : 147_Çankaya/Ankara;1231;312-4188959;312-4253462;25.11.1968
