Town_ID;Town_Name;City_ID;Population
1757;Aladağ;1;16121
1219;Ceyhan;1;160977
2033;Çukurova;1;376390
1329;Feke;1;16919
1806;İmamoğlu;1;27938
1437;Karaisalı;1;21948
1443;Karataş;1;23678
1486;Kozan;1;131633
1580;Pozantı;1;19974
1588;Saimbeyli;1;14764
2032;Sarıçam;1;181610
1104;Seyhan;1;796286
1687;Tufanbeyli;1;17102
1734;Yumurtalık;1;18026
1748;Yüreğir;1;414574
1182;Besni;2;76674
1246;Çelikhan;2;15470
1347;Gerger;2;17552
1354;Gölbaşı;2;49253
1425;Kahta;2;123861
1105;Merkez;2;308915
1592;Samsat;2;7980
1985;Sincik;2;16855
1989;Tut;2;9905
1771;Başmakçı;3;9788
1773;Bayat;3;7673
1200;Bolvadin;3;45384
1239;Çay;3;31179
1906;Çobanlar;3;14363
1267;Dazkırı;3;11204
1281;Dinar;3;47400
1306;Emirdağ;3;37361
1923;Evciler;3;7367
1944;Hocalar;3;9496
1404;İhsaniye;3;27929
1809;İscehisar;3;24683
1961;Kızılören;3;2329
1108;Merkez;3;306908
1594;Sandıklı;3;55331
1626;Sinanpaşa;3;39734
1664;Şuhut;3;36788
1639;Sultandağı;3;14566
1283;Diyadin;4;41512
1287;Doğubayazıt;4;119807
1301;Eleşkirt;4;32593
1379;Hamur;4;18152
1111;Merkez;4;151083
1568;Patnos;4;122850
1667;Taşlıçay;4;20029
1691;Tutak;4;30173
1860;Ağaçören;68;7972
1921;Eskil;68;26452
1932;Gülağaç;68;19615
1861;Güzelyurt;68;11223
1120;Merkez;68;301661
1557;Ortaköy;68;32639
1866;Sarıyahşi;68;5658
2106;Sultanhanı;68;11147
1363;Göynücek;5;10207
1368;Gümüşhacıköy;5;23402
1938;Hamamözü;5;3802
1134;Merkez;5;150828
1524;Merzifon;5;72277
1641;Suluova;5;46649
1668;Taşova;5;30635
1872;Akyurt;6;36123
1130;Altındağ;6;389510
1157;Ayaş;6;13900
1167;Bala;6;30280
1187;Beypazarı;6;48371
1227;Çamlıdere;6;9825
1231;Çankaya;6;944609
1260;Çubuk;6;90764
1302;Elmadağ;6;45557
1922;Etimesgut;6;587052
1924;Evren;6;3097
1744;Gölbaşı;6;138944
1365;Güdül;6;8892
1387;Haymana;6;30930
1815;Kahramankazan;6;54806
1427;Kalecik;6;13234
1745;Keçiören;6;939161
1473;Kızılcahamam;6;28350
1746;Mamak;6;665978
1539;Nallıhan;6;27579
